,N,Average_Diam,Standard_Deviation,Aprrox_Diam,Ratio_Between_Diams,Standard_deviation_Between_Real_approx,Average_Clustering,S.D of Clsutering,Approx_Clustering,Ratio_Between_Clustering,S.D_Between_Aprrox_and_Real
0,30,2.06,0.238683257,2.778466515,1.348770153,0.718466515,0.557357256,0.01809494,0.008483037,0.691844922,2.221109258
1,50,2.99,0.1,2.867937186,0.959176316,0.122062814,0.428737272,0.013720822,0.008483037,0.71390686,2.439199914
2,70,3,0,2.936954547,0.978984849,0.063045453,0.354793735,0.012609016,0.008483037,0.726768824,2.582160812
3,90,3,0,2.991824904,0.997274968,0.008175096,0.303964142,0.010940795,0.008483037,0.740156277,2.687860763
4,110,3,0,3.037143858,1.012381286,0.037143858,0.267551914,0.011241621,0.008483037,0.750729944,2.769591944
5,130,3,0,3.075681022,1.025227007,0.075681022,0.246837324,0.009576366,0.008483037,0.738352732,2.828843698
6,150,3,0,3.109177977,1.036392659,0.109177977,0.223937867,0.008347889,0.008483037,0.74742357,2.88524011
7,170,3,0,3.138789618,1.046263206,0.138789618,0.207217869,0.008143432,0.008483037,0.74875514,2.931571749
8,190,3,0,3.165317784,1.055105928,0.165317784,0.191326806,0.007300567,0.008483037,0.757350108,2.973990978
9,200,3,0,3.177612686,1.059204229,0.177612686,0.185832166,0.007625901,0.008483037,0.755309684,2.991780519
10,300,3.04,0.196946386,3.2759093,1.077601743,0.2359093,0.142196764,0.00578402,0.008483037,0.762631853,3.133712536
11,400,3.3,0.460566186,3.34655894,1.01410877,0.04655894,0.117451982,0.004603437,0.008483037,0.764091987,3.229106957
12,500,3.92,0.272659924,3.401718228,0.867785262,0.518281772,0.101295424,0.004291141,0.008483037,0.762548835,3.300422804
13,1000,4,0,3.574249917,0.893562479,0.425750083,0.062215,0.002592215,0.008483037,0.76697072,3.512034917
14,1500,4,0,3.675569291,0.918892323,0.324430709,0.046392194,0.001609502,0.008483037,0.768565968,3.629177096
15,2000,4,0,3.747486162,0.936871541,0.252513838,0.037646175,0.001216625,0.008483037,0.767325212,3.709839988
16,2500,4,0,3.803246701,0.950811675,0.196753299,0.03194603,0.001205768,0.008483037,0.766488931,3.771300671
17,5000,4.01,0.1,3.976119454,0.991550986,0.033880546,0.018989066,0.000596494,0.008483037,0.764045808,3.957130388
18,10000,5,0,4.148191314,0.829638263,0.851808686,0.011234102,0.000324879,0.008483037,0.75511484,4.136957212
