,,e,e,e,e,e,e,e,e,highest_degree,highest_degree,highest_degree,highest_degree,highest_degree,highest_degree,highest_degree,highest_degree,Diameter,Diameter,Diameter,Diameter,Diameter,Diameter,Diameter,Diameter,average_path_length,average_path_length,average_path_length,average_path_length,average_path_length,average_path_length,average_path_length,average_path_length,average_clustering,average_clustering,average_clustering,average_clustering,average_clustering,average_clustering,average_clustering,average_clustering,average_degree,average_degree,average_degree,average_degree,average_degree,average_degree,average_degree,average_degree
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Graph_Type,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barabasi,30,300.0,122.45,3.2033897180359947,115.0,120.0,122.0,125.0,131.0,300.0,16.956666666666667,2.018672588349102,13.0,15.0,17.0,18.0,25.0,300.0,inf,,3.0,3.0,3.0,3.0,inf,300.0,1.7455019157088123,0.22849130360000175,0.0,1.760919540229885,1.7724137931034485,1.7862068965517242,1.8482758620689652,300.0,0.35264963488515555,0.03939135370385537,0.2558017908017908,0.3246838115588116,0.34928873142108435,0.3781018273665331,0.4868003129767835,300.0,8.163333333333334,0.21355931453573307,7.666666666666667,8.0,8.133333333333333,8.333333333333334,8.733333333333333
barabasi,50,300.0,222.45,3.2033897180359943,215.0,220.0,222.0,225.0,231.0,300.0,23.376666666666665,2.8345908416714836,17.0,21.0,23.0,25.0,32.0,300.0,inf,,3.0,3.0,3.0,3.0,inf,300.0,1.9293469387755104,0.25216586582210376,0.0,1.95,1.9624489795918367,1.973265306122449,2.013061224489796,300.0,0.26559512678590114,0.029600209238088794,0.2010420135420135,0.24441795050980333,0.26459314873865947,0.2839276364187355,0.3837521577379163,300.0,8.898,0.12813558872143965,8.6,8.8,8.88,9.0,9.24
barabasi,70,300.0,322.45,3.2033897180359943,315.0,320.0,322.0,325.0,331.0,300.0,28.406666666666666,3.281847645577844,21.0,26.0,28.0,31.0,38.0,300.0,inf,,3.0,3.0,3.0,4.0,inf,300.0,2.056975845410628,0.2687051880176189,0.0,2.0822981366459627,2.092753623188406,2.102277432712216,2.1333333333333333,300.0,0.22124652321077748,0.021699014563812704,0.1698030124330433,0.20611432189937273,0.22069522785617524,0.2357808866012316,0.2932278685355589,300.0,9.212857142857144,0.09152542051531483,9.0,9.142857142857142,9.2,9.285714285714286,9.457142857142856
barabasi,90,300.0,422.45,3.2033897180359943,415.0,420.0,422.0,425.0,431.0,300.0,32.57666666666667,4.13696795997929,24.0,30.0,32.0,35.0,49.0,300.0,inf,,3.0,4.0,4.0,4.0,inf,300.0,2.152474406991261,0.28111260524497594,0.0,2.1784644194756555,2.189263420724095,2.1995630461922597,2.225717852684145,300.0,0.18994959773071893,0.019049147217901,0.1327150292890783,0.17646656491671708,0.18935680644939584,0.20183271842466344,0.2437136657776467,300.0,9.387777777777778,0.0711864381785775,9.22222222222222,9.333333333333334,9.377777777777778,9.444444444444445,9.577777777777778
barabasi,110,300.0,522.45,3.2033897180359947,515.0,520.0,522.0,525.0,531.0,300.0,36.54,4.982417245208511,25.0,33.0,36.0,39.25,56.0,300.0,inf,,3.0,4.0,4.0,4.0,inf,300.0,2.227156519321657,0.2909000046724683,0.0,2.25325271059216,2.266722268557131,2.275396163469558,2.3019182652210177,300.0,0.16876121990619242,0.018749326744656885,0.1242285413899419,0.15612856653263443,0.16731784856264076,0.18045984850610636,0.2280995972104015,300.0,9.49909090909091,0.058243449418836316,9.363636363636363,9.454545454545457,9.49090909090909,9.545454545454543,9.654545454545454
barabasi,130,300.0,622.45,3.2033897180359947,615.0,620.0,622.0,625.0,631.0,300.0,39.346666666666664,4.998309636229128,28.0,35.75,39.0,42.0,54.0,300.0,inf,,3.0,4.0,4.0,4.0,inf,300.0,2.2906010733452598,0.2991013171246785,0.0,2.3191413237924867,2.3301132975551577,2.339654144305307,2.366726296958855,300.0,0.1508928884852538,0.014214926516280917,0.1165284350195329,0.14223255979343535,0.15024656306911927,0.1594607706609839,0.2030916804667452,300.0,9.576153846153845,0.04928291873901514,9.461538461538462,9.538461538461538,9.569230769230767,9.615384615384617,9.707692307692309
barabasi,150,300.0,722.45,3.2033897180359947,715.0,720.0,722.0,725.0,731.0,300.0,42.50666666666667,5.434002530415073,28.0,38.0,42.0,46.0,64.0,300.0,inf,,4.0,4.0,4.0,4.0,inf,300.0,2.341353020134228,0.30569342697366375,0.0,2.370715883668904,2.3822818791946307,2.3909619686800894,2.4117225950783,300.0,0.13751758375515719,0.013859634698493082,0.0980400913053937,0.128445828500597,0.13753296736708548,0.1464596146649909,0.1926114579000751,300.0,9.632666666666667,0.04271186290714653,9.533333333333331,9.6,9.626666666666669,9.666666666666666,9.746666666666666
barabasi,170,300.0,822.45,3.2033897180359947,815.0,820.0,822.0,825.0,831.0,300.0,46.053333333333335,6.060218068050851,34.0,42.0,45.0,50.0,69.0,300.0,inf,,4.0,4.0,4.0,4.0,inf,300.0,2.383687202691728,0.3111703884571906,0.0,2.4158893143056037,2.4248172641837797,2.4334841628959274,2.4569439610163597,300.0,0.12807117948893454,0.012218670879254517,0.0966901701269135,0.11978585108951655,0.1276536177852196,0.13548438228350734,0.1721249703583384,300.0,9.675882352941176,0.03768693785924724,9.588235294117649,9.647058823529411,9.670588235294115,9.705882352941176,9.776470588235297
